"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","","",
"Africa Eastern and Southern","AFE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5326150","5322890","5327180","5323510","5320000","5323030","5324010","5328190","5334880","5344800","5360170","5365870","5366130","5367810","5371960","5374560","5374970","5385870","5381690","5380330","5391340","5391740","5396020","5395980","5417560","5425200","5428670","5434450","5445460","5313659.9","5207436.27","5224490.44","5057484.61","5072408.78","5083992.95","5097517.12","5117281.39","5135205.56","5164119.73","5185183.9","5200494.37","5215366.84","5243793.31","5279228.58","5294720.25","5309259.72","5324692.99","5356256.56","5380079.83","5398501.8","6392500.5","6459157.24","6477782.4","6497055.3","6505845.2","6515953","6521411.4","6532568.32","","",
"Afghanistan","AFG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","377000","377600","378100","378730","378750","379130","379790","379800","379960","380060","380360","380460","380480","380480","380480","380480","380500","380500","380490","380490","380530","380540","380540","380540","380540","380540","380450","380400","380400","380400","380300","380300","379340","378130","377530","377520","377900","378670","377530","377530","377530","377530","379100","379110","379100","379100","379100","379100","379100","379110","379100","379100","379100","379100","379100","379100","379100","379190","","",
"Africa Western and Central","AFW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3025335.1","3035850","3059019.1","3070610.7","3094681.3","3070169.9","3089878.7","3098929.5","3154860.3","3117394.7","3102665.6","3060380","3111330","3064870","3060690","3066700","3023890","3013030","3011030","3042130","3008140","3026200","3037840","3080760","3109950","3169070","3171470","3188410","3195000","3187523.8","3207365.62","3226179.84","3247322.31","3266364.08","3315053.9","3303797.52","3322659.24","3325963.56","3345190.93","3355358.3","3384939.88","3396241.86","3423124.14","3419379.6","3480862.45","3481821","3497969.35","3524364.4","3536365.75","3551895.8","3559485.78","3574436.4","3594810.3","3597067.7","3599501.6","3608282.421","3612043.2","3614109.8","","",
"Angola","AGO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","571700","572000","572200","572500","572700","573000","573300","573600","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574000","574040","455626.37","457180.54","458734.71","460288.88","461843.05","463397.22","464951.39","466505.56","468059.73","469613.9","475164.51","480715.12","486265.73","491816.34","497366.95","502917.56","508468.17","514018.78","519569.39","525120","530670.62","536221.24","541771.86","547322.48","552873.1","558423.8","563974.3","569524.9","","",
"Albania","ALB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12320","12320","12330","12300","12370","12400","12440","12400","12350","12300","12000","11740","11460","11220","10800","10750","11090","11140","11170","11180","11160","11140","11100","11130","11120","11110","11110","11170","11100","11210","11270","11270","11260","11260","11270","11310","11350","11390","11450","11440","11390","11400","11210","11220","10770","11200","11190","11810","12013","12013","12010","12013","11873","11742.9","11743","11817","11691.81","11740.81","","",
"Andorra","AND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260","260","260","260","260","260","260","260","260","260","250","250","240","240","240","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","227.5","228.5","228.6","228.1","218","217.8","207.7","207.6","207.7","197.7","197.7","187.6","188.1","188","188.1","188.2","188.2","188.3","","",
"Arab World","ARB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3127460","3126440","3128570","3128840","3130980","3130890","3136780","3139750","3146300","3153840","3179440","3184910","3183200","3189790","3185730","3194140","3196000","3201430","3202930","3213530","3171596","3174293.4","3180167.4","3235683.6","3282938","3331758","3386710","3436840","3487488","3543042","3554814","3566269.8","3644561.8","3720356.6","3791120","3863314.6","3929909.2","4012266.2","4081735","4079602","4079151","4086221","4091452","4099056","4105366.99987793","4099627.50012207","4100190","4091069.60012207","4085584.59987793","4091616.99993896","4775396.9","4778403.40001221","4784649.35007324","4784143.5","4785772.57113428","4782952.05413428","4780538.896","4780957.158","","",
"United Arab Emirates","ARE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2080","2080","2080","2080","2090","2100","2100","2100","2100","2120","2120","2120","2130","2140","2150","2160","2170","2180","2190","2230","2270","2270","2320","2320","2350","2380","2380","2390","2390","2850","3100","3390","3550","3720","3830","3870","3950","3980","5160","5470","5620","5660","5540","5540","5570","5386","5326","5396","3879","3923","3885","3767","3794","3825","3828","3838","3838","3817.5","","",
"Argentina","ARG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1378290","1364340","1348750","1332970","1317800","1309480","1297030","1292350","1293020","1292800","1291540","1290280","1289020","1287760","1286500","1285240","1283980","1282720","1281460","1280200","1278940","1287690","1286440","1285170","1283910","1282650","1279390","1273800","1274700","1275650","1276600","1277550","1278500","1279480","1280450","1281420","1282350","1283300","1284120","1285100","1286060","1287100","1308835","1343450","1377975","1411040","1440330","1442610","1437920","1474810","1482810","1492540","1491990","1487000","1487000","1487000","1487000","1487680","","",
